fecha_proceso,fecha_consumo,descripcion,tipo_operacion,soles,dolares
11/09/2025,09/09/2025,TAMBO ROSATORO LIMA PE,CONSUMO,7.0,0.0
11/09/2025,10/09/2025,IZI*MINIMARKET EDU LIMA PE,CONSUMO,9.2,0.0
15/09/2025,12/09/2025,IZI*HOSPEDAJE ARIZONA LIMA PE,CONSUMO,82.0,0.0
15/09/2025,12/09/2025,IZI*SUPERMARKET LIMA PE,CONSUMO,14.2,0.0
15/09/2025,13/09/2025,IZI*MINIMARKET FASTSHO LIMA PE,CONSUMO,16.3,0.0
15/09/2025,13/09/2025,SUBWAY LIMA PE,CONSUMO,5.9,0.0
15/09/2025,13/09/2025,OXXO BALLON LIMA PE,CONSUMO,3.6,0.0
24/09/2025,23/09/2025,MFA678 CANADA 2 LIMA PE,CONSUMO,1.2,0.0
25/09/2025,23/09/2025,TAMBO ROSATORO LIMA PE,CONSUMO,12.18,0.0
25/09/2025,24/09/2025,OXXO BALLON LIMA PE,CONSUMO,12.89,0.0
29/09/2025,26/09/2025,MP *VAINSAINNOVA LIMA PE,CONSUMO,480.93,0.0
06/10/2025,04/10/2025,MFA678 CANADA 2 LIMA PE,CONSUMO,1.2,0.0
